____? There's a app for that.;____? Tem um aplicativo para isso.
Why can't I sleep at night?;Por que não consigo dormir à noite?
What's that smell?;Que cheiro é esse?
I got 99 problems, but ____ ain't one.;Eu tenho 99 problemas mas ____ não é um.
Who stole the cookies from the cookie jar?;Quem roubou biscoitos do pote de biscoitos?
What's the next Happy Meal toy?;Qual o  próximo brinde do McLanche Feliz?
Anthropologists have recently discovered a primitive tribe that worships ____;Antropólogos recentemente descobriram uma antiga tribo que venerava ____
It's a pity that kids these days are all getting involved with ____;É uma pena que crianças hoje em dia estejam todas se envolvendo com ____
During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____;Durante o Período Marrom de Picasso ele pintou centenas de quadros de  ____
Alternative medecine is now embracing the curative powers of ____;A medicina alternativa está  adotando os poderes curativos de ____
TSA guidelines now prohibits ____ on airplanes.;As novas regras de seguranca agora proíbem ____ em aviões.
____. This is how I die;____. É assim que eu morro.
For my next trick, I will pull ____ out of ____ (2);Para meu próximo truque, eu  vou tirar  ____ de ____
In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.;No novo filme da Xuxa, ela precisa lidar com  ____  pela primeira vez
____ is a slippery slope that leads to ____ (2);____  ‚ uma porta de entrada para  ____ (2)
In a world savaged by ____, our only solace is ____(2);Num mundo devastado por  ____, nosso único consolo é ____. (2)
War! What is it good for?;Guerra! Para que serve?
During sex, I like to think about ____;Durante o sexo eu gosto de pensar em ____.
What are my parents hiding from me?;O que os meus pais escondem de mim?
What will always get you laid?;O que sempre fará  você conseguir uma transa?
When I'm in prison, I'll have ____ smuggled in.;Quando eu estiver na prisão, eu vou  contrabandear  ____ .
What did I bring back from Mexico?;O que eu trouxe do Paraguai?
What don't you want to find in your Chinese food?;O que você não gostaria de encontrar na sua comida chinesa?
What gets better with age?;O que fica melhor com a idade?
Studies show that lab rats navigate mazes 50% after being exposed to ____;Estudos mostram que ratos de laboratório atravessam labirintos 50% mais rápido depois de expostos a ____
Life was difficult for cavemen before ____;A vida era difícil para os homens das cavernas antes de ____
Make a haiku. (draw 2, pick 3);Escreva um Haikai (3)
I do not know with what weapons World War III will be fought, but World War IV will be fought with ____;Eu não sei que armas vao usar na terceira guerra mundial, mas na quarta usarão ____ 
Why do I hurt all over?;Por que eu estou todo dolorido?
What am I giving up for Lent?;O que eu estou emprestando?
In Michael Jackson's final moments, he thought about ____;Nos ultimos momentos de Raul Seixas, ele pensou sobre ____
In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ____;Numa tentativa de obter maior audiência, o Museu Câmara Cascudo oferecerá uma exibição interativa de  ____
When I am President of the United States, I will create the Department of ____;Quando eu for presidente da república, vou criar o ministério de ____
LifeTime presents ____, the story of ____(2);A sessão da tarde apresenta: ____, uma história de ____ (2)
When I am a billionaire, I shall erect a 50-foot statue to commemorate ____;Quando eu for um bilionário, vou erguer uma estátua de 20 metros em homenagem a ____
When I was tripping on acid, ____ turned into ____ (2);Quando eu estava viajando com LSD, ____ virou ____ (2)
That's right, I killed ____. How, you ask? ____ (2);Verdade, eu matei ____ . Como? ____ (2)
What's my anti-drug?;Qual o meu anti-drogas?
What never fails to liven up the party?;O que nunca falha em animar a festa?
What's the new fad diet?;Qual a nova dieta do momento?
Major League Baseball has banned ____ for giving players an unfair advantage.;A FIFA baniu ____ por dar aos jogadores uma enorme vantagem
 ;Como eu perdi minha virgindade?
 ;Talvez ela tenha nascido assim, talvez seja ____
 ;Eu consigo seguir em frente com uma pequena ajuda de ____ 
 ;Querida tia Tereza, estou tendo um problema com ____ e gostaria da sua ajuda.
 ;Mais uma noite chega, e com ela ____
 ;Disseram que nós éramos loucos, disseram que não poderíamos colocar ____ dentro de ____. Eles estavam errados. 
 ;Papai, por que a mamãe está chorando?
 ;Aqui também é ____